#line-def-guide: [A.X,A.Y,A.Z],[B.X,B.Y,B.Z]

#lewy przedni prostopadlościan
[0,0,0],[100,0,0]
[100,0,0],[100,0,100]
[100,0,100],[0,0,100]
[0,0,100],[0,0,0]

[0,400,0],[100,400,0]
[100,400,0],[100,400,100]
[100,400,100],[0,400,100]
[0,400,100],[0,400,0]

[0,0,0],[0,400,0]
[100,0,0],[100,400,0]
[0,0,100],[0,400,100]
[100,0,100],[100,400,100]

#prawy przedni prostopadlościan
[200,0,0],[300,0,0]
[300,0,0],[300,0,100]
[300,0,100],[200,0,100]
[200,0,100],[200,0,0]

[200,400,0],[300,400,0]
[300,400,0],[300,400,100]
[300,400,100],[200,400,100]
[200,400,100],[200,400,0]

[200,0,0],[200,400,0]
[300,0,0],[300,400,0]
[200,0,100],[200,400,100]
[300,0,100],[300,400,100]

#lewy srodkowy prostopadlościan
[0,0,200],[100,0,200]
[100,0,200],[100,0,300]
[100,0,300],[0,0,300]
[0,0,300],[0,0,200]

[0,400,200],[100,400,200]
[100,400,200],[100,400,300]
[100,400,300],[0,400,300]
[0,400,300],[0,400,200]

[0,0,200],[0,400,200]
[100,0,200],[100,400,200]
[0,0,300],[0,400,300]
[100,0,300],[100,400,300]

#prawy srodkowy prostopadlościan
[200,0,200],[300,0,200]
[300,0,200],[300,0,300]
[300,0,300],[200,0,300]
[200,0,300],[200,0,200]

[200,400,200],[300,400,200]
[300,400,200],[300,400,300]
[300,400,300],[200,400,300]
[200,400,300],[200,400,200]

[200,0,200],[200,400,200]
[300,0,200],[300,400,200]
[200,0,300],[200,400,300]
[300,0,300],[300,400,300]

#lewy tylni prostopadlościan
[0,0,400],[100,0,400]
[100,0,400],[100,0,500]
[100,0,500],[0,0,500]
[0,0,500],[0,0,400]

[0,400,400],[100,400,400]
[100,400,400],[100,400,500]
[100,400,500],[0,400,500]
[0,400,500],[0,400,400]

[0,0,400],[0,400,400]
[100,0,400],[100,400,400]
[0,0,500],[0,400,500]
[100,0,500],[100,400,500]

#prawy tylni prostopadlościan
[200,0,400],[300,0,400]
[300,0,400],[300,0,500]
[300,0,500],[200,0,500]
[200,0,500],[200,0,400]

[200,400,400],[300,400,400]
[300,400,400],[300,400,500]
[300,400,500],[200,400,500]
[200,400,500],[200,400,400]

[200,0,400],[200,400,400]
[300,0,400],[300,400,400]
[200,0,500],[200,400,500]
[300,0,500],[300,400,500]









#lewy przedni prostopadlościan
[0,  600,0],[100,600,0]
[100,600,0],[100,600,100]
[100,600,100],[0,600,100]
[0,  600,100],[0,600,0]

[0,  1000,0],[100,1000,0]
[100,1000,0],[100,1000,100]
[100,1000,100],[0,1000,100]
[0,  1000,100],[0,1000,0]

[0,  600,0],[0,  1000,0]
[100,600,0],[100,1000,0]
[0,  600,100],[0,1000,100]
[100,600,100],[100,1000,100]

#prawy przedni prostopadlościan
[200,600,0],[300,  600,0]
[300,600,0],[300,  600,100]
[300,600,100],[200,600,100]
[200,600,100],[200,600,0]

[200,1000,0],[300,  1000,0]
[300,1000,0],[300,  1000,100]
[300,1000,100],[200,1000,100]
[200,1000,100],[200,1000,0]

[200,600,0],[200,  1000,0]
[300,600,0],[300,  1000,0]
[200,600,100],[200,1000,100]
[300,600,100],[300,1000,100]

#lewy srodkowy prostopadlościan
[0,  600,200],[100,600,200]
[100,600,200],[100,600,300]
[100,600,300],[0,  600,300]
[0,  600,300],[0,  600,200]

[0,  1000,200],[100,1000,200]
[100,1000,200],[100,1000,300]
[100,1000,300],[0,  1000,300]
[0,  1000,300],[0,  1000,200]

[0,  600,200],[0,  1000,200]
[100,600,200],[100,1000,200]
[0,  600,300],[0,  1000,300]
[100,600,300],[100,1000,300]

#prawy srodkowy prostopadlościan
[200,600,200],[300,600,200]
[300,600,200],[300,600,300]
[300,600,300],[200,600,300]
[200,600,300],[200,600,200]

[200,1000,200],[300,1000,200]
[300,1000,200],[300,1000,300]
[300,1000,300],[200,1000,300]
[200,1000,300],[200,1000,200]

[200,600,200],[200,1000,200]
[300,600,200],[300,1000,200]
[200,600,300],[200,1000,300]
[300,600,300],[300,1000,300]

#lewy tylni prostopadlościan
[0,  600,400],[100,600,400]
[100,600,400],[100,600,500]
[100,600,500],[0,  600,500]
[0,  600,500],[0,  600,400]

[0,  1000,400],[100,1000,400]
[100,1000,400],[100,1000,500]
[100,1000,500],[0,  1000,500]
[0,  1000,500],[0,  1000,400]

[0,  600,400],[0,  1000,400]
[100,600,400],[100,1000,400]
[0,  600,500],[0,  1000,500]
[100,600,500],[100,1000,500]

#prawy tylni prostopadlościan
[200,600,400],[300,600,400]
[300,600,400],[300,600,500]
[300,600,500],[200,600,500]
[200,600,500],[200,600,400]

[200,1000,400],[300,1000,400]
[300,1000,400],[300,1000,500]
[300,1000,500],[200,1000,500]
[200,1000,500],[200,1000,400]

[200,600,400],[200,1000,400]
[300,600,400],[300,1000,400]
[200,600,500],[200,1000,500]
[300,600,500],[300,1000,500]
